ligand,affinity_kcal_per_mol,dock_rank,prob_active,cls_rank,pred_pIC50,reg_rank,consensus_score
methyl,-6.711,165.0,0.2224254165169508,131.0,5.20607984934656,221.0,169.4
methyl,-6.711,165.0,0.2802349247737692,102.0,5.1558807407916944,251.0,169.60000000000002
benzyl,-6.892,156.0,0.3012300785221701,94.0,5.06279655778149,288.0,170.0
eicosane,-5.533,190.0,0.1487662338379748,145.0,5.269898714568833,139.0,170.8
methyl,-6.711,165.0,0.2746539649724242,109.0,5.1558807407916944,251.0,171.0
methyl,-6.711,165.0,0.1793104127417383,140.0,5.20607984934656,221.0,171.2
methyl,-6.711,165.0,0.1692442282387059,141.0,5.20607984934656,221.0,171.4
methyl,-6.711,165.0,0.5038741652743562,16.0,4.900743427494283,346.0,171.4
methyl,-6.711,165.0,0.3764485945211553,61.0,5.011733564599385,302.0,171.60000000000002
methyl,-6.711,165.0,0.1618196748943582,143.0,5.20607984934656,221.0,171.8
methyl,-6.711,165.0,0.2594819874818359,115.0,5.1558807407916944,251.0,172.2
methyl,-6.711,165.0,0.1372444069390304,146.0,5.20607984934656,221.0,172.39999999999998
methyl,-6.711,165.0,0.2496172793210616,118.0,5.1558807407916944,251.0,172.8
methyl,-6.711,165.0,0.11,150.0,5.20607984934656,221.0,173.2
methyl,-6.711,165.0,0.0685072674267114,152.0,5.20607984934656,221.0,173.60000000000002
methyl,-6.711,165.0,0.3664578813636479,73.0,5.011733564599385,302.0,174.0
methyl,-6.711,165.0,0.2366568610328379,124.0,5.1558807407916944,251.0,174.0
methyl,-6.711,165.0,0.3598775645475476,75.0,5.011733564599385,302.0,174.4
dieporeticenin,-7.812,121.0,0.3107056084393236,90.0,4.816929539496482,420.0,174.6
methyl,-6.711,165.0,0.2321604123269207,128.0,5.1558807407916944,251.0,174.8
methyl,-6.711,165.0,0.3469478209766328,78.0,5.011733564599385,302.0,175.0
methyl,-6.711,165.0,0.5038741652743562,16.0,4.896325249645065,364.0,175.0
methyl,-6.711,165.0,0.2224254165169508,131.0,5.1558807407916944,251.0,175.4
rolliniastatin-1,-8.811,73.0,0.2746941380780338,108.0,4.695683785085766,556.0,176.60000000000002
methyl,-6.711,165.0,0.1793104127417383,140.0,5.1558807407916944,251.0,177.2
methyl,-6.711,165.0,0.1692442282387059,141.0,5.1558807407916944,251.0,177.4
espintanol,-5.641,189.0,0.2858061718505298,101.0,5.206386773801055,220.0,177.6
methyl,-6.711,165.0,0.1618196748943582,143.0,5.1558807407916944,251.0,177.8
schweinfurthin,-4.316,197.0,0.442302396054961,30.0,5.1505004610461,269.0,178.0
benzyl,-6.892,156.0,0.2153869113840581,135.0,5.06279655778149,288.0,178.2
santalol,-6.497,173.0,0.3682635825558163,71.0,5.018937770159707,301.0,178.2
methyl,-6.711,165.0,0.1372444069390304,146.0,5.1558807407916944,251.0,178.39999999999998
schweinfurthin,-4.316,197.0,0.442302396054961,30.0,5.1362788909203925,272.0,178.6
schweinfurthin,-4.316,197.0,0.4284246646084391,35.0,5.1505004610461,269.0,179.0
methyl,-6.711,165.0,0.11,150.0,5.1558807407916944,251.0,179.2
schweinfurthin,-4.316,197.0,0.4284246646084391,35.0,5.1362788909203925,272.0,179.6
methyl,-6.711,165.0,0.5038741652743562,16.0,4.873699731338282,387.0,179.60000000000002
methyl,-6.711,165.0,0.0685072674267114,152.0,5.1558807407916944,251.0,179.60000000000002
methyl,-6.711,165.0,0.2802349247737692,102.0,5.011733564599385,302.0,179.8
benzyl,-6.892,156.0,0.1553869113840581,144.0,5.06279655778149,288.0,180.0
